,user_id,title,weeks_since_first_transaction,mastery,diligence,num_questions,percentage_correct,num_review,num_view,ratio_window_visible,cluster
45,388047,Deutsch,3,16.269782088884813,1690.0,15.0,76.66666666666667,6.0,15.0,0.9310344827586207,2
46,388047,Deutsch,4,16.269782088884813,1750.0,3.0,50.0,0.0,8.0,0.8,2
47,388047,Deutsch,5,16.269782088884813,1790.0,1.0,50.0,0.0,5.0,0.6666666666666666,2
48,388047,Deutsch,6,16.269782088884813,1862.0,6.0,66.66666666666667,1.0,9.0,0.875,2
49,388052,Deutsch,0,0.0,0.0,0.0,,49.0,,,0
50,388052,Deutsch,1,0.0,120.0,2.0,100.0,0.0,44.0,0.3333333333333333,0
51,388052,Deutsch,2,0.0,120.0,0.0,,0.0,2.0,0.7692307692307693,0
52,388052,Deutsch,3,2.34375,256.0,10.0,60.0,1.0,12.0,0.8571428571428571,0
53,388052,Deutsch,4,2.34375,256.0,0.0,,0.0,,,0
54,388052,Deutsch,5,2.560763888888889,520.0,15.0,70.0,0.0,93.0,0.2,0
55,388052,Deutsch,6,2.560763888888889,536.0,0.0,,0.0,5.0,0.2,0
56,388060,Deutsch,0,0.0,0.0,0.0,,5.0,,,2
57,388060,Deutsch,1,0.2987557870370371,466.0,2.0,100.0,0.0,16.0,0.9166666666666666,2
58,388060,Deutsch,2,1.514033564814815,552.0,4.0,87.5,0.0,34.0,0.6285714285714286,2
59,388060,Deutsch,3,1.514033564814815,552.0,0.0,,0.0,,0.8571428571428571,2
60,388060,Deutsch,4,5.50708912037037,836.0,12.0,83.33333333333333,0.0,32.0,0.9850746268656716,2
61,388060,Deutsch,5,5.50708912037037,836.0,0.0,,0.0,,0.5,2
62,388060,Deutsch,6,10.264033564814817,1460.0,9.0,83.33333333333333,0.0,16.0,0.84,2
63,388070,Deutsch,0,2.013888888888889,334.0,7.0,64.28571428571429,1.0,9.0,0.15384615384615385,1
64,388070,Deutsch,1,2.013888888888889,350.0,1.0,50.0,0.0,14.0,,1
65,388070,Deutsch,2,2.013888888888889,420.0,2.0,50.0,0.0,2.0,0.14285714285714285,1
66,388070,Deutsch,3,2.013888888888889,530.0,5.0,60.0,7.0,5.0,0.8888888888888888,1
67,388070,Deutsch,4,5.0788511284037385,790.0,5.0,70.0,8.0,5.0,,1
68,388070,Deutsch,5,5.0788511284037385,790.0,0.0,,0.0,,,1
69,388070,Deutsch,6,5.0788511284037385,790.0,14.0,64.28571428571429,0.0,15.0,0.8571428571428571,1
70,388073,Deutsch,0,3.216145833333333,714.0,20.0,80.0,5.0,22.0,0.4,1
71,388073,Deutsch,1,4.084201388888888,832.0,2.0,75.0,4.0,6.0,0.5,1
72,388073,Deutsch,2,4.084201388888888,912.0,2.0,50.0,2.0,3.0,0.5714285714285714,1
73,388073,Deutsch,3,4.084201388888888,942.0,3.0,66.66666666666667,0.0,6.0,0.4,1
74,388073,Deutsch,4,4.605034722222222,982.0,4.0,62.5,3.0,5.0,,1
75,388073,Deutsch,5,6.612090055602851,1112.0,0.0,,0.0,,0.6,1
76,388073,Deutsch,6,6.612090055602851,1112.0,16.0,87.5,16.0,14.0,0.25,1
77,388100,Deutsch,0,2.2569444444444446,146.0,12.0,75.0,0.0,15.0,0.2857142857142857,2
78,388100,Deutsch,1,2.2569444444444446,180.0,1.0,50.0,0.0,5.0,0.9230769230769231,2
79,388100,Deutsch,2,2.2569444444444446,180.0,4.0,62.5,1.0,5.0,0.6060606060606061,2
